File,identifier,isla,distancia LP-ACO,distancia LLM,media,ganador
07250c9202f2f6596049f5a782beb048,1746499826,2,15.305826595258166,18.04644218764733,16.67613439145275,Evaluador
07250c9202f2f6596049f5a782beb048,1746490919,0,15.305826595258166,18.702928758136903,17.004377676697533,Evaluador
07250c9202f2f6596049f5a782beb048,1746490919,0,15.305826595258166,18.702928758136903,17.004377676697533,Evaluador
07250c9202f2f6596049f5a782beb048,1746494622,0,15.305826595258166,17.50670654838339,16.40626657182078,Evaluador
07250c9202f2f6596049f5a782beb048,1746499826,2,15.305826595258166,17.66309797715081,16.484462286204487,Evaluador
07250c9202f2f6596049f5a782beb048,1746496504,2,15.305826595258166,16.703662991802272,16.004744793530218,Evaluador
07250c9202f2f6596049f5a782beb048,1746492541,2,15.305826595258166,17.242947310842062,16.274386953050115,Evaluador
07eab6aeb7adda9195638e0fc9526edf,1746499826,2,16.72089439666222,20.547831670214293,18.634363033438255,Evaluador
07eab6aeb7adda9195638e0fc9526edf,1746490919,0,16.72089439666222,20.128946810475792,18.424920603569007,Evaluador
07eab6aeb7adda9195638e0fc9526edf,1746490919,0,16.72089439666222,20.128946810475792,18.424920603569007,Evaluador
07eab6aeb7adda9195638e0fc9526edf,1746494622,0,16.72089439666222,18.716168890278468,17.718531643470342,Evaluador
07eab6aeb7adda9195638e0fc9526edf,1746499826,2,16.72089439666222,21.51107292697566,19.11598366181894,Evaluador
07eab6aeb7adda9195638e0fc9526edf,1746496504,2,16.72089439666222,20.974462434646068,18.847678415654144,Evaluador
07eab6aeb7adda9195638e0fc9526edf,1746492541,2,16.72089439666222,19.58647227638329,18.153683336522754,Evaluador
0a8073522081f213c00b7aee3044456f,1746499826,2,15.566991873299642,19.573998466173805,17.570495169736724,Evaluador
0a8073522081f213c00b7aee3044456f,1746490919,0,15.566991873299642,18.76002520278332,17.163508538041484,Evaluador
0a8073522081f213c00b7aee3044456f,1746490919,0,15.566991873299642,18.76002520278332,17.163508538041484,Evaluador
0a8073522081f213c00b7aee3044456f,1746494622,0,15.566991873299642,19.24878408802936,17.4078879806645,Evaluador
0a8073522081f213c00b7aee3044456f,1746499826,2,15.566991873299642,22.845506897840032,19.206249385569837,Evaluador
0a8073522081f213c00b7aee3044456f,1746496504,2,15.566991873299642,17.959143811306735,16.763067842303187,Evaluador
0a8073522081f213c00b7aee3044456f,1746492541,2,15.566991873299642,18.300275511817976,16.933633692558807,Evaluador
0d442b615e2b9a686de265fbebd6c701,1746499826,2,15.604411799990244,20.316674266111324,17.960543033050783,Evaluador
