File,Identifier,n_cities,Isla,distance evaluador,distance llm
9517ac29c9980fad9e914ee282ef6bf9,1746499826,20,2,8.264046,8.912662448552547
d86936d09e79a2aba5a7c6d725d8370a,1746490919,20,0,7.430698,7.6718908848874765
f21d554720c169954571530e170582d6,1746490919,20,0,8.222199,8.798200689384425
7f3a8f71792f79292bb99b9f8e0905eb,1746494622,20,0,7.009738,7.032191251385065
75124e736e33ebec9fed5f8d3079726e,1746499826,20,2,5.936868,5.980726641119669
66975d1a9599c26cff761d8a1c9468c9,1746496504,20,2,7.77795,8.627917187855635
b6bb0fa521c532065da8243023bffc48,1746492541,20,2,7.914056,8.701346212505992
